1000 1.055618460626483 -27.559550824655265 
2000 -3.1896664712467353 -19.524434116800197 
3000 -4.152167952427708 -7.086644530358078 
4000 -2.1925275443025614 -6.814515605986853 
5000 -2.80923454434359 -6.859671918652008 
6000 -2.4226720351103768 -6.658848840750914 
7000 -2.450777445316935 -6.478891246727703 
8000 -2.161091197942493 -6.749789284069378 
9000 -2.0352607790729977 -6.9462055719710865 
10000 -2.000171475590341 -6.7101264078232745 
11000 -2.407311360214069 -6.711085835481557 
12000 -2.2087131234989785 -6.690742071256379 
13000 -2.225560643836934 -6.753293738033285 
14000 -2.1838234496451916 -6.745473211446535 
15000 -1.91794095275539 -6.847751779402078 
16000 -2.046572316101196 -6.777719533811058 
17000 -2.2317931606186 -6.572609401335744 
18000 -2.141877694603237 -6.650219288122167 
19000 -2.3369318054049057 -6.373197733778703 
20000 -2.324714695345025 -6.691209502692377 
21000 -1.8684111389701443 -6.787271476546603 
22000 -2.219839776598498 -6.609902755422781 
23000 -2.21605174966513 -6.696764093790386 
24000 -2.3116010805907425 -6.290402237255239 
25000 -2.0585359839788744 -6.811264903446323 
26000 -1.959374694903856 -6.482152662942026 
27000 -2.268655378657544 -6.819653138817061 
28000 -2.1455509104474815 -6.561330783783877 
29000 -2.2790643581848444 -6.693092102390943 
30000 -2.317899644098627 -6.731737723591262 
31000 -2.079263017564708 -6.7553970459013435 
32000 -1.980259729795755 -6.817099083058332 
33000 -1.8257368033132402 -7.09651054203328 
34000 -1.998109647667998 -6.848834238602455 
35000 -2.1911371528725914 -6.977512331455384 
36000 -1.9737939644274467 -7.034932835231974 
37000 -2.027196939664045 -6.638682599227552 
38000 -2.0999434947216096 -6.613605492963999 
39000 -2.174925130457381 -6.762066558146549 
40000 -1.9407121269910248 -7.045500623912859 
41000 -2.1881969347277734 -6.890241853844439 
42000 -2.4586226893649066 -6.544044754513288 
43000 -2.6849766751454602 -6.638323748275409 
44000 -2.6270371674976176 -6.591254257094312 
45000 -2.485113160994787 -6.6050594515472 
46000 -2.4396716855020633 -6.54423161042534 
47000 -2.4964235324338024 -6.537815252708285 
48000 -2.4393083825192696 -6.565855653210935 
49000 -2.470280655836577 -6.461312038929207 
50000 -2.228448369020842 -6.815569592085961 
51000 -2.442452460643781 -6.881002185026653 
52000 -2.4770681061906976 -6.789052901850454 
53000 -2.142441592545026 -7.012932056901812 
54000 -2.1336008419395602 -7.113994129404295 
55000 -1.9509010668912379 -6.9942231725393045 
56000 -1.3231806234199721 -7.754774550815266 
57000 -0.7034097579763186 -8.592868329591338 
58000 -1.1189808605925735 -7.772796919102325 
59000 -1.5700365100664775 -7.421861665682827 
60000 -1.6890314071960346 -7.175486421774542 
