1000 -37.521675
2000 -16.188088
3000 -5.993567
4000 -6.098738
5000 -6.232947
6000 -6.213357
7000 -5.965528
8000 -6.492226
9000 -5.922586
10000 -6.254640
11000 -6.239991
12000 -6.158940
13000 -6.054063
14000 -5.940309
15000 -5.960745
16000 -6.326902
17000 -5.954082
18000 -6.270904
19000 -6.220575
20000 -6.496436
21000 -6.537051
22000 -6.509989
23000 -6.948966
24000 -6.759908
25000 -7.043703
26000 -7.091737
27000 -7.117381
28000 -7.501493
29000 -6.613663
30000 -6.791542
31000 -6.786678
32000 -7.006810
33000 -6.660953
34000 -7.076030
35000 -7.069334
36000 -7.232533
37000 -7.228937
38000 -7.170351
39000 -7.099555
40000 -7.187772
41000 -6.683283
42000 -6.957153
43000 -6.930836
44000 -6.987839
45000 -7.254505
46000 -7.316553
47000 -6.747675
48000 -7.089738
49000 -6.801687
50000 -6.496102
51000 -6.703676
52000 -6.466145
53000 -6.406895
54000 -6.027285
55000 -6.886475
56000 -6.532258
57000 -6.647838
58000 -6.047879
59000 -6.574549
60000 -6.591796
