1000 -5.213196
2000 1.089603
3000 7.413167
4000 11.297567
5000 24.224302
6000 73.279492
7000 47.093773
8000 28.352132
9000 31.387203
10000 35.572567
11000 30.706034
12000 35.932783
13000 38.972523
14000 43.958749
15000 53.912824
16000 47.714677
17000 43.355248
18000 37.147503
19000 29.886140
20000 22.289224
21000 21.672872
22000 16.433041
23000 16.592865
24000 9.475902
25000 12.403183
26000 14.516439
27000 12.096785
28000 12.202923
29000 14.302406
30000 14.685873
31000 15.561670
32000 15.247278
33000 15.113023
34000 17.846252
35000 15.537189
36000 18.319998
37000 17.024853
38000 12.998049
39000 17.030713
40000 13.772290
41000 16.263523
42000 14.826000
43000 13.223999
44000 14.653286
45000 15.383607
46000 14.387569
47000 13.432845
48000 12.359082
49000 13.667658
50000 14.044214
51000 11.131953
52000 11.752586
53000 13.776451
54000 13.737781
55000 12.910192
56000 12.283220
57000 12.929997
58000 12.978914
59000 12.169010
60000 13.027350
