1000 -22.866218
2000 -12.285784
3000 -7.288032
4000 -23.614460
5000 -21.535428
6000 -17.361428
7000 -16.675455
8000 -17.017685
9000 -17.247901
10000 -17.396730
11000 -16.929872
12000 -16.561038
13000 -17.066215
14000 -17.057777
15000 -17.394874
16000 -16.789554
17000 -17.060250
18000 -16.545452
19000 -16.813413
20000 -16.803793
21000 -16.700423
22000 -16.925805
23000 -17.038585
24000 -17.039404
25000 -17.124671
26000 -16.750812
27000 -16.769442
28000 -16.818482
29000 -16.521178
30000 -16.472110
31000 -17.005581
32000 -16.697010
33000 -16.457418
34000 -16.440069
35000 -16.763783
36000 -16.902187
37000 -17.366362
38000 -16.892416
39000 -17.112218
40000 -16.427385
41000 -16.937747
42000 -16.841882
43000 -16.215961
44000 -16.664937
45000 -16.629637
46000 -16.540271
47000 -16.842099
48000 -16.301207
49000 -16.873632
50000 -16.528327
51000 -16.680523
52000 -16.426413
53000 -16.762330
54000 -16.842385
55000 -16.346842
56000 -17.163259
57000 -16.408134
58000 -16.803822
59000 -16.874360
60000 -16.275282
