1000 1.0355678752748794 1.0715429845762445 1.0535708673592556 1.0242703053931432 -11.345408112868853 -18.228114135359363 
2000 3.271956871646308 3.419559642981121 3.3662849779803063 3.557326274549139 -10.249268705271797 -7.520412716095318 
3000 4.156485539036636 4.3485145999153865 4.0692342604274625 4.621246606944107 -2.1882458117703 -2.9325551723353676 
4000 4.872715567020375 4.735000572840606 4.538327642287339 4.935119419568536 -2.0461859248576078 -2.6028641651709132 
5000 7.3081057414853206 6.9167161464431555 6.8121963138158375 7.548979172091802 -3.0353104030319207 -3.7374985754781203 
6000 9.139498564972582 8.699560934216096 8.74162971194589 9.295269422316192 -4.106814743452043 -4.5520542928309915 
7000 11.508632522387979 11.237770795689958 11.278258188525381 11.567330678269002 -5.084915096831591 -5.513938649560676 
8000 14.093578565764103 13.884583458005574 13.90259681491198 14.048171550636077 -6.784836617458523 -6.532913125321803 
9000 15.746147811261137 15.55900891058991 15.58428670225952 15.67825645580123 -7.9337225900543 -7.244861437054858 
10000 15.349252044125844 15.261786925359338 15.201057189310418 15.31520959616911 -8.31959397709563 -6.494632632780822 
11000 13.972265978307991 13.839785152034676 13.934729472844392 13.953586031992046 -8.162117161773851 -5.84933667233888 
12000 10.592299359324533 10.452888269813247 10.498338201897965 10.52268649958407 -6.92770083382489 -4.3938639336400245 
13000 6.91847584761627 6.7126148928907075 6.8645496039726375 6.859946028822373 -4.253211973369313 -4.863607869309053 
